gene_symbol,Pglyrp3
mouse_strain,C57BL
pvalue,0.6615054
parameter_id,MGP_IMM_131_001
mouse_life_stage,Early adult
parameter_name,CD103+ CD11b-low cDC - % of CD45+
analysis_id,95uqm2s406z1u8y
gene_accession_id,MGI:2685266
