analysis_id,8uq8ucj58645797
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
parameter_name,Calcium
gene_accession_id,MGI:3616086
gene_symbol,Kcng1
mouse_life_stage,Early adult
pvalue,0.6497638
