analysis_id,xo802d2bu33s550
parameter_id,MGP_MLN_001_001
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:3522699
mouse_strain,C57BL
pvalue,0.9531596
mouse_life_stage,Early adult
gene_symbol,Trpa1
