analysis_id,20eid3l5br91t6a
pvalue,0.9246563
gene_accession_id,MGI:1345282
parameter_name,Ventral coat/hair presence
gene_symbol,Slc30a4
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,MGP_CSD_025_001
