analysis_id,cj10epb653pbal3
mouse_life_stage,Early adult
pvalue,1.486845
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
parameter_id,JAXLA_OFD_020_001
mouse_strain,129SV
parameter_name,Distance travelled - total
