analysis_id,047b2lo84pg5ul3
gene_symbol,Kcng1
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
mouse_strain,C57BL
parameter_name,Tremor
pvalue,0.9238141
parameter_id,TCPLA_CSD_030_001
