parameter_name,Fusion of vertebrae
gene_accession_id,MGI:107414
analysis_id,ioe2vpn441yd07n
parameter_id,M-G-P_006_001_026
gene_symbol,Tnfsf10
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6013502
