gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_id,MGP_PBI_014_001
analysis_id,180bjiagbcydbo6
pvalue,0.08728408
parameter_name,B cell percentage
