parameter_name,B cell number
gene_symbol,Fgb
parameter_id,MGP_PBI_034_001
mouse_life_stage,E12.5
gene_accession_id,MGI:99501
pvalue,0.5048728
analysis_id,3x4icd989335653
mouse_strain,C57BL
