parameter_name,Periphery permanence time
mouse_strain,C57BL
parameter_id,JAX_OFD_012_001
pvalue,0.2046395
analysis_id,62y9580q5xf7578
gene_symbol,Maco1
gene_accession_id,MGI:1913396
mouse_life_stage,Early adult
