parameter_name,Weight
analysis_id,4z6s3q9dje6fs6o
gene_symbol,Slx4ip
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:1921493
pvalue,0.2311066
mouse_strain,C57BL
