gene_symbol,Tiprl
parameter_id,JAX_SLW_013_001
pvalue,0.4304524
mouse_life_stage,E12.5
parameter_name,Breath rate during sleep mean
gene_accession_id,MGI:1915087
analysis_id,e0aoosb6n9p78f4
mouse_strain,C57BL
