parameter_name,Zygomatic bone
parameter_id,IMPC_XRY_002_001
mouse_strain,C57BL
pvalue,0.8004075
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
analysis_id,58jrchu85jm85ft
gene_accession_id,MGI:1914556
