parameter_name,Retina (combined)
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Etfdh
pvalue,0.4747868
analysis_id,ti1s40im46w1q38
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:106100
