analysis_id,5azi3w48628e393
pvalue,0.6956713
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
parameter_name,Center resting time
mouse_strain,C57BL
parameter_id,JAX_OFD_015_001
mouse_life_stage,Middle aged adult
