analysis_id,08n5y7jyx77u86k
gene_accession_id,MGI:99501
pvalue,0.116368
parameter_id,HRWLLA_OFD_010_001
gene_symbol,Fgb
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_name,Periphery distance travelled
