gene_symbol,Bmi1
parameter_name,Resting NK cells - % of NK cells
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:88174
pvalue,0.2042329
parameter_id,MGP_MLN_033_001
analysis_id,7i845loi35i0wqg
