analysis_id,0039p8y11q3069y
gene_accession_id,MGI:2684980
parameter_name,Snout morphology
pvalue,0.8349064
mouse_strain,C57BL
gene_symbol,Mms22l
mouse_life_stage,Early adult
parameter_id,MGP_CSD_066_001
