analysis_id,r701312s72440c3
parameter_id,ESLIM_007_001_015
pvalue,0.484119
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Number of centre entries
gene_accession_id,MGI:2385156
gene_symbol,Sdcbp2
