gene_symbol,Cldn19
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:3033992
pvalue,0.5107285
analysis_id,lkh6rn693w0s4n8
