parameter_name,Weight
pvalue,0.1182746
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rgs20
gene_accession_id,MGI:1929866
analysis_id,48135j991917gl7
parameter_id,M-G-P_005_001_001
