gene_symbol,Fgb
gene_accession_id,MGI:99501
parameter_name,Respiration Rate
mouse_life_stage,E12.5
analysis_id,2kb90p7000x1n0s
parameter_id,IMPC_ECH_018_001
pvalue,0.9480688
mouse_strain,C57BL
