gene_symbol,Pex19
parameter_name,KLRG1+ NK cells - % of NK cells
pvalue,0.8582389
mouse_life_stage,Early adult
analysis_id,u8q4j1dtbi93b1l
gene_accession_id,MGI:1334458
mouse_strain,C57BL
parameter_id,MGP_IMM_036_001
