gene_symbol,Traf6
pvalue,0.5294713
parameter_id,IMPC_DXA_009_001
parameter_name,Fat/Body weight
gene_accession_id,MGI:108072
analysis_id,667s3gms9qjo32h
mouse_life_stage,Early adult
mouse_strain,C57BL
