analysis_id,l125e62lylsv7p6
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.3151095
gene_symbol,Eprs1
gene_accession_id,MGI:97838
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_066_001
