analysis_id,148kk0ou9s9s207
pvalue,0.5032954
parameter_id,IMPC_CBC_015_001
parameter_name,Total cholesterol
mouse_life_stage,Early adult
gene_accession_id,MGI:1929242
mouse_strain,C57BL
gene_symbol,Ivd
