parameter_id,IMPC_GPO_002_001
mouse_life_stage,Early adult
gene_symbol,Arpc2
analysis_id,g6q2408s771y58o
pvalue,0.1566643
mouse_strain,129SV
parameter_name,Placenta Morphology
gene_accession_id,MGI:1923959
