analysis_id,cuds0wi5659r3y6
parameter_id,MGP_IMM_017_001
gene_accession_id,MGI:2651854
pvalue,0.4165866
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Atg4c
