gene_symbol,Bpifa3
gene_accession_id,MGI:1920638
parameter_id,HRWLLA_OFD_017_001
analysis_id,h26jsm766i1k8l9
pvalue,0.8599178
parameter_name,Center average speed
mouse_life_stage,Early adult
mouse_strain,C57BL
