parameter_name,CV
gene_symbol,Trp53i11
analysis_id,oimlx409s2i9557
mouse_strain,C57BL
pvalue,0.5427355
parameter_id,IMPC_ECG_003_001
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
