analysis_id,59zzarb15kr712u
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
pvalue,0.7327552
parameter_id,IMPC_CBC_018_001
parameter_name,Glucose
mouse_life_stage,E9.5
mouse_strain,C57BL
