mouse_strain,129SV
gene_symbol,Ddx27
analysis_id,edi32a1rs402x1k
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:2385884
pvalue,0.9659798
