analysis_id,5lv63d6kd0u93b7
parameter_id,MGP_MLN_001_001
pvalue,0.3585097
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:1920344
gene_symbol,Sgip1
