analysis_id,o7471ndb60y430d
parameter_name,Time mobile light side
mouse_strain,C57BL
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
parameter_id,JAX_LDT_003_001
pvalue,0.97263
mouse_life_stage,Early adult
