analysis_id,wc8e2cp18ga8k2e
parameter_name,6kHz-evoked ABR Threshold
gene_accession_id,MGI:894679
mouse_strain,C57BL
parameter_id,IMPC_ABR_004_001
gene_symbol,Bach2
mouse_life_stage,Early adult
pvalue,0.1983972
