parameter_id,IMPC_EYE_017_001
gene_symbol,Ola1
pvalue,0.5762495
gene_accession_id,MGI:1914309
analysis_id,i883561m0s6owo9
parameter_name,Lens Opacity
mouse_strain,C57BL
mouse_life_stage,Early adult
