parameter_id,IMPC_GEL_057_001
gene_accession_id,MGI:1913396
analysis_id,7dc768054exj2l8
mouse_life_stage,Early adult
pvalue,0.6568175
mouse_strain,C57BL
gene_symbol,Maco1
parameter_name,Heart looping
