analysis_id,02065u92v66qzxj
gene_accession_id,MGI:1346344
pvalue,0.334252
parameter_id,M-G-P_008_001_013
parameter_name,Startle Response
gene_symbol,Nr0b2
mouse_life_stage,Early adult
mouse_strain,B6J
