parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.8343388
mouse_life_stage,Early adult
gene_accession_id,MGI:1916220
parameter_id,IMPC_IMM_032_001
analysis_id,30bsv33f5k83s07
gene_symbol,Dcaf12
mouse_strain,C57BL
