gene_symbol,Nemp2
parameter_name,Click-evoked ABR threshold
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ABR_002_001
gene_accession_id,MGI:2444113
pvalue,0.7412964
analysis_id,3gz5goe1n92q8bf
