gene_symbol,Pum1
parameter_id,IMPC_GEL_057_001
pvalue,0.5552354
parameter_name,Heart looping
gene_accession_id,MGI:1931749
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,6399h3069nqo0n9
