gene_symbol,Ddx27
mouse_strain,C57BL
parameter_name,Basophil differential count
parameter_id,IMPC_HEM_038_001
pvalue,0.4754967
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
analysis_id,2s3qp8ayb1trt05
