gene_symbol,Gpbp1l1
parameter_name,Head morphology
parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:1924360
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,21x8s451vh07i15
pvalue,0.3846464
