parameter_name,Bone Area
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_010_001
gene_symbol,Ssr2
analysis_id,5d2769vjcj4q3j1
pvalue,0.5849834
gene_accession_id,MGI:1913506
