parameter_id,IMPC_HEM_006_001
gene_symbol,Bmi1
mouse_strain,C57BL
analysis_id,89yqd51ncrjo293
mouse_life_stage,Early adult
pvalue,0.4066963
parameter_name,Mean corpuscular hemoglobin
gene_accession_id,MGI:88174
