analysis_id,4pv9ef26i88m40c
parameter_id,IMPC_EYE_056_001
gene_symbol,Arnt
gene_accession_id,MGI:88071
parameter_name,Mean left eye lens density
pvalue,0.7690037
mouse_life_stage,Early adult
mouse_strain,C57BL
