analysis_id,larazk207wjpb4p
pvalue,0.9207819
mouse_life_stage,Early adult
parameter_name,HRV
parameter_id,IMPC_ECG_010_001
gene_symbol,Tnni1
gene_accession_id,MGI:105073
mouse_strain,C57BL
