gene_symbol,Cd52
pvalue,0.7422832
gene_accession_id,MGI:1346088
analysis_id,sm03357fq6j263u
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_HEM_002_001
parameter_name,Red blood cell count
