gene_symbol,Bcs1l
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.7060965
gene_accession_id,MGI:1914071
parameter_name,Right kidney weight
analysis_id,2vf98y9ur42z405
parameter_id,IMPC_OWT_004_001
