analysis_id,x6068975v4317z7
pvalue,0.7949242
parameter_name,Shape of vertebrae
parameter_id,IMPC_XRY_018_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
gene_symbol,Col6a3
