parameter_name,Shape of ribcage
parameter_id,IMPC_XRY_059_001
analysis_id,ik69zx63qc0t980
gene_symbol,Ift74
mouse_life_stage,Early adult
pvalue,0.6770193
mouse_strain,C57BL
gene_accession_id,MGI:1914944
