gene_symbol,Tubb4b
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915472
parameter_id,MGP_PBI_009_001
pvalue,0.6751318
analysis_id,xvu94hb46rt2md1
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
