gene_symbol,Jun
analysis_id,kf7909dd4n83153
pvalue,0.7655629
gene_accession_id,MGI:96646
parameter_name,Femur
mouse_life_stage,E15.5
mouse_strain,C57BL
parameter_id,IMPC_XRY_024_001
