parameter_name,Lumbar processes
gene_symbol,Psd4
gene_accession_id,MGI:2674093
mouse_strain,C57BL
analysis_id,o5ogt336v5qtccv
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_065_001
pvalue,0.570521
