gene_symbol,Lime1
parameter_name,Pericardium Morphology
mouse_life_stage,Early adult
analysis_id,a8hy94qmqedz211
gene_accession_id,MGI:1919949
mouse_strain,C57BL
pvalue,0.4611849
parameter_id,IMPC_GEL_006_001
