parameter_name,Midbrain
pvalue,0.2122085
analysis_id,jsw4g32deo5tcq0
mouse_strain,C57BL
gene_accession_id,MGI:1916363
parameter_id,IMPC_GEL_029_001
mouse_life_stage,Early adult
gene_symbol,Alkbh3
