gene_symbol,Ahctf1
parameter_id,JAXLA_OFD_017_001
gene_accession_id,MGI:1915033
parameter_name,Center average speed
mouse_strain,C57BL
analysis_id,467i19684vkgs93
mouse_life_stage,Early adult
pvalue,0.9376231
