parameter_name,Phosphorus
mouse_strain,C57BL
analysis_id,8wqy0j74ckw733a
gene_accession_id,MGI:95835
gene_symbol,Hspa5
pvalue,0.899878
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_010_001
