parameter_name,Center distance travelled
gene_symbol,Zfp683
parameter_id,JAX_OFD_014_001
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
analysis_id,ue7j165m8fuy915
mouse_strain,C57BL
pvalue,0.4742868
