gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,IMPC_EYE_009_001
mouse_life_stage,E9.5
pvalue,0.8215506
analysis_id,40gzny8j1p8d37b
mouse_strain,C57BL
parameter_name,Corneal vascularization
