analysis_id,h51z95x1g32ma04
parameter_name,Snout morphology
pvalue,0.2013451
gene_accession_id,MGI:99915
mouse_strain,C57BL
gene_symbol,Lamb3
mouse_life_stage,Early adult
parameter_id,MGP_CSD_066_001
