gene_symbol,Kif24
analysis_id,39y6e46w4r573d9
gene_accession_id,MGI:1918345
parameter_id,IMPC_EYE_008_001
parameter_name,Corneal opacity
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.4788119
