analysis_id,2153vb7p4y63aaz
parameter_id,IMPC_DXA_002_001
parameter_name,Fat mass
gene_symbol,Slc30a4
pvalue,0.298748
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
mouse_strain,C57BL
