parameter_name,B Cells
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
pvalue,0.1835178
analysis_id,0i857q1844d63cw
mouse_life_stage,Early adult
gene_symbol,Etfdh
gene_accession_id,MGI:106100
